239dc609-0ade-4ea6-a2a4-718a10099123	2023/41/15 	 06:41:27	 ad956	/stu	GET
fc194a78-7bde-431f-beff-501cfb08cddc	2023/41/15 	 06:41:29	 ad956	/stu	GET
6f82111e-008b-463b-ac28-07548a4915a2	2023/41/15 	 06:41:30	 ad956	/stu	GET
c30c433c-b15a-4cc0-a765-a99a8110a1d4	2023/41/15 	 06:41:30	 ad956	/stu	GET
78f6ff23-ba4e-4a3f-9c5b-c60ee69fc170	2023/41/15 	 06:41:31	 ad956	/stu	GET
7b8aa8d3-d912-400e-bb3b-76fa714fb5d7	2023/41/15 	 06:41:31	 ad956	/stu	GET
471df7ef-89cb-4c44-952d-184b1c8cee1a	2023/41/15 	 06:41:32	 ad956	/stu	GET
7f0818d9-2231-4f85-9708-07c5d9ff0da4	2023/41/15 	 06:41:32	 ad956	/stu	GET
c0b8e77f-db19-4bd9-8fc2-d15de53fa00e	2023/41/15 	 06:41:33	 ad956	/stu	GET
eeeb27ba-1b24-47d9-b856-35286f440c7c	2023/41/15 	 06:41:33	 ad956	/stu	GET
0f66e052-cef5-4000-ada4-992539720856	2023/41/15 	 06:41:33	 ad956	/stu	GET
c710645f-5d8c-470e-b7c9-9f7a95998e7e	2023/41/15 	 06:41:33	 ad956	/stu	GET
5eed82f2-b91e-43c3-8d42-61daee2e7b15	2023/41/15 	 06:41:34	 ad956	/stu	GET
bdaa09d1-03a5-4824-859e-abc0b090cbb6	2023/41/15 	 06:41:34	 ad956	/stu	GET
e991ee60-c767-4b39-99c0-4266a39a9080	2023/41/15 	 06:41:41	 ad956	/stu	GET
62725571-83cd-4953-85bd-2a28b979056a	2023/42/15 	 06:42:23	 ad956	/stu	GET
652a4547-b1ee-463a-b9fc-2cc39259efc8	2023/42/15 	 06:42:26	 ad956	/auth	POST
e3592bbb-7c49-4e27-ac60-b6a183c33f56	2023/42/15 	 06:42:33	 ad956	/stu	GET
b2edccfc-8e6b-4b92-9508-d5cada947efd	2023/46/15 	 06:46:18	 ad956	/	GET
